"mcp_code","week_num","cumul_week"
11039,"50",41208
11039,"51",41975
11039,"52",43512
11039,"6",940
11039,"7",1100
11039,"8",1277
11039,"9",1554
11040,"1",30
11040,"10",3590
11040,"11",4500
11040,"12",5677
11040,"13",6900
11040,"14",7946
11040,"15",9951
11040,"16",11355
11040,"17",12500
11040,"18",15043
11040,"19",17203
11040,"2",327
11040,"20",20367
11040,"21",22587
11040,"22",26055
11040,"23",29154
11040,"24",32460
11040,"25",36006
11040,"26",38934
11040,"27",42457
11040,"28",44381
11040,"29",46742
11040,"3",836
11040,"30",49239
11040,"31",50821
11040,"32",51801
11040,"33",52454
11040,"34",53258
11040,"35",53924
11040,"36",54150
11040,"37",54616
11040,"38",55204
11040,"39",55701
11040,"4",957
11040,"40",56378
11040,"41",56876
11040,"42",57512
11040,"43",57859
11040,"44",58202
11040,"45",58407
11040,"46",59628
11040,"47",61450
11040,"48",64570
11040,"49",67380
11040,"5",1346
11040,"50",69178
11040,"51",73738
11040,"52",74777
11040,"6",1844
11040,"7",2102
11040,"8",2509
11040,"9",3300
11044,"10",1943
11044,"11",2302
11044,"12",2694
11044,"13",3288
11044,"14",3657
11044,"15",4889
11044,"16",5764
11044,"17",6526
11044,"18",7859
11044,"19",8962
11044,"2",282
11044,"20",10691
11044,"21",12120
11044,"22",14055
11044,"23",15702
11044,"24",17433
11044,"25",19535
11044,"26",21137
11044,"27",23262
11044,"28",24419
11044,"29",25847
11044,"3",518
11044,"30",27432
11044,"31",28371
11044,"32",28877
11044,"33",29273
11044,"34",29748
11044,"35",30077
11044,"36",30207
11044,"37",30429
11044,"38",30737
11044,"39",30975
11044,"4",566
11044,"40",31330
11044,"41",31460
11044,"42",31662
11044,"43",31814
11044,"44",31942
11044,"45",32016
11044,"46",32796
11044,"47",33674
11044,"48",35604
11044,"49",36889
11044,"5",884
11044,"50",38240
11044,"51",40815
11044,"52",41486
11044,"6",1111
11044,"7",1271
11044,"8",1529
11044,"9",1800
11050,"1",5
11050,"10",1295
11050,"11",1505
11050,"12",1781
11050,"13",2194
11050,"14",2624
11050,"15",3013
11050,"16",3515
11050,"17",3815
11050,"18",4539
11050,"19",4990
11050,"2",40
11050,"20",5842
11050,"21",6421
11050,"22",7316
11050,"23",8280
11050,"24",9271
11050,"25",10184
11050,"26",10801
11050,"27",11451
11050,"28",12404
11050,"29",13264
11050,"3",247
11050,"30",13971
11050,"31",14674
11050,"32",15123
11050,"33",15432
11050,"34",15736
11050,"35",15829
11050,"36",15918
11050,"37",16025
11050,"38",16174
11050,"39",16317
11050,"4",381
11050,"40",16483
11050,"41",16783
11050,"42",16936
11050,"43",17023
11050,"44",17103
11050,"45",17181
11050,"46",17522
11050,"47",18301
11050,"48",18834
11050,"49",19492
11050,"5",449
11050,"50",20269
11050,"51",20664
11050,"52",21326
11050,"6",642
11050,"7",821
11050,"8",889
11050,"9",1024
11052,"1",20
11052,"10",1463
11052,"11",1790
11052,"12",2138
11052,"13",2633
11052,"14",2963
11052,"15",3731
11052,"16",4432
11052,"17",4803
11052,"18",5814
11052,"19",6501
11052,"2",196
11052,"20",7763
11052,"21",8542
11052,"22",9903
11052,"23",11005
11052,"24",12189
11052,"25",13475
11052,"26",14588
11052,"27",15924
11052,"28",16713
11052,"29",17623
11052,"3",329
11052,"30",18499
11052,"31",19108
11052,"32",19414
11052,"33",19696
11052,"34",20026
11052,"35",20233
11052,"36",20344
11052,"37",20525
11052,"38",20719
11052,"39",20913
11052,"4",416
11052,"40",21056
11052,"41",21290
11052,"42",21510
11052,"43",21711
11052,"44",21829
11052,"45",21946
11052,"46",22224
11052,"47",23110
11052,"48",23954
11052,"49",25443
11052,"5",632
11052,"50",25876
11052,"51",27842
11052,"52",28212
11052,"6",765
11052,"7",907
11052,"8",1056
11052,"9",1290
11053,"1",15
11053,"10",2254
11053,"11",2624
11053,"12",3035
11053,"13",3634
11053,"14",4395
11053,"15",5213
11053,"16",5791
11053,"17",6584
11053,"18",8408
11053,"19",9264
11053,"2",273
11053,"20",10615
11053,"21",11817
11053,"22",13866
11053,"23",15650
11053,"24",17542
11053,"25",20030
11053,"26",22188
11053,"27",24307
11053,"28",25174
11053,"29",27316
11053,"3",524
11053,"30",29098
11053,"31",31376
11053,"32",32268
11053,"33",32636
11053,"34",33146
11053,"35",33484
11053,"36",33615
11053,"37",33726
11053,"38",33822
11053,"39",34188
11053,"4",646
11053,"40",34648
11053,"41",34666
11053,"42",35021
11053,"43",35206
11053,"44",35207
11053,"45",35434
11053,"46",36067
11053,"47",37343
11053,"48",38672
11053,"49",40034
11053,"5",932
11053,"50",41672
11053,"51",43147
11053,"52",43198
11053,"6",1174
11053,"7",1348
11053,"8",1541
11053,"9",1899
11054,"1",20
11054,"10",1566
11054,"11",1829
11054,"12",2204
11054,"13",2666
11054,"14",3215
11054,"15",3745
11054,"16",4645
11054,"17",5142
11054,"18",6169
11054,"19",6787
11054,"2",119
11054,"20",8019
11054,"21",8901
11054,"22",10221
11054,"23",11508
11054,"24",12672
11054,"25",13889
11054,"26",14792
11054,"27",15696
11054,"28",17112
11054,"29",18067
11054,"3",257
11054,"30",18975
11054,"31",20074
11054,"32",20569
